date,close,high,low,volume
2021-02-05,3496.33,3536.54,3492.96,290146176.0
2021-02-08,3532.45,3542.21,3492.13,249799616.0
2021-02-09,3603.49,3604.01,3528.68,253821760.0
2021-02-10,3655.09,3662.77,3612.51,257940832.0
2021-02-18,3675.36,3731.69,3663.66,340309056.0
2021-02-19,3696.17,3699.65,3634.02,361059808.0
2021-02-22,3642.44,3717.27,3642.44,488821472.0
2021-02-23,3636.36,3672.15,3617.7,398873184.0
2021-02-24,3564.08,3645.65,3531.59,362158944.0
2021-02-25,3585.05,3608.56,3568.47,366232288.0
2021-02-26,3509.08,3550.41,3500.7,333280064.0
2021-03-01,3551.4,3552.57,3511.99,315487520.0
2021-03-02,3508.59,3566.85,3485.36,339830496.0
2021-03-03,3576.9,3577.62,3498.72,347656832.0
2021-03-04,3503.49,3552.2,3487.38,393616128.0
2021-03-05,3501.99,3523.57,3456.67,356409216.0
2021-03-08,3421.41,3542.3,3421.22,387047968.0
2021-03-09,3359.29,3429.15,3328.31,407652544.0
2021-03-10,3357.74,3397.03,3354.82,299749152.0
2021-03-11,3436.83,3436.83,3369.9,322112032.0
2021-03-12,3453.08,3454.51,3417.24,358027040.0
2021-03-15,3419.95,3457.49,3392.51,367813280.0
2021-03-16,3446.73,3448.88,3406.17,316668736.0
2021-03-17,3445.55,3454.06,3410.28,280059808.0
2021-03-18,3463.07,3478.14,3449.38,284403904.0
2021-03-19,3404.66,3439.52,3389.29,309161728.0
2021-03-22,3443.44,3443.66,3404.23,312559072.0
2021-03-23,3411.51,3445.42,3390.05,326389408.0
2021-03-24,3367.06,3415.3,3362.18,317398688.0
2021-03-25,3363.59,3382.23,3344.97,270676096.0
2021-03-26,3418.33,3423.22,3373.32,274614976.0
2021-03-29,3435.3,3449.83,3409.89,284824256.0
2021-03-30,3456.68,3457.63,3423.32,285423072.0
2021-03-31,3441.91,3452.21,3420.83,283049248.0
2021-04-01,3466.33,3470.03,3438.83,275244288.0
2021-04-02,3484.39,3487.59,3462.83,262654880.0
2021-04-06,3482.97,3493.28,3471.76,234746672.0
2021-04-07,3479.63,3483.42,3453.19,295786976.0
2021-04-08,3482.55,3495.91,3459.32,331755328.0
2021-04-09,3450.68,3475.45,3442.14,280085184.0
2021-04-12,3412.95,3456.16,3403.9,309577248.0
2021-04-13,3396.47,3425.39,3387.9,270626048.0
2021-04-14,3416.72,3420.03,3392.98,233242320.0
2021-04-15,3398.99,3409.61,3373.09,234005056.0
2021-04-16,3426.62,3432.63,3394.13,258579680.0
2021-04-19,3477.55,3479.01,3414.36,302735808.0
2021-04-20,3472.94,3494.3,3463.46,285300096.0
2021-04-21,3472.93,3481.25,3450.11,253777856.0
2021-04-22,3465.11,3485.36,3456.32,251114512.0
2021-04-23,3474.17,3482.36,3456.33,249360432.0
2021-04-26,3441.17,3497.12,3438.57,276970784.0
2021-04-27,3442.61,3443.85,3417.26,253032400.0
2021-04-28,3457.07,3457.07,3423.33,247381120.0
2021-04-29,3474.9,3478.23,3447.59,276631392.0
2021-04-30,3446.86,3469.09,3426.9,312660352.0
2021-05-06,3441.28,3471.24,3426.85,310424192.0
2021-05-07,3418.87,3457.89,3416.78,353785376.0
2021-05-10,3427.99,3429.74,3401.93,374170880.0
2021-05-11,3441.85,3448.1,3384.7,350934112.0
2021-05-12,3462.75,3466.37,3428.39,311444544.0
2021-05-13,3429.54,3448.02,3418.38,319325312.0
2021-05-14,3490.38,3490.64,3422.57,336982304.0
2021-05-17,3517.62,3530.51,3490.14,322135968.0
2021-05-18,3529.01,3529.01,3510.86,271308544.0
2021-05-19,3510.96,3521.11,3503.82,278321120.0
2021-05-20,3506.94,3517.74,3486.07,326009344.0
2021-05-21,3486.56,3518.38,3479.67,283826272.0
2021-05-24,3497.28,3498.3,3469.87,289509248.0
2021-05-25,3581.34,3584.58,3502.44,341241120.0
2021-05-26,3593.36,3603.49,3585.37,341980288.0
2021-05-27,3608.85,3626.36,3579.26,309551488.0
2021-05-28,3600.78,3622.18,3582.36,349208832.0
2021-05-31,3615.48,3615.66,3580.65,331523776.0
2021-06-01,3624.71,3626.07,3581.91,352811424.0
2021-06-02,3597.14,3629.29,3584.6,348558432.0
2021-06-03,3584.21,3618.51,3584.21,354233024.0
2021-06-04,3591.84,3618.8,3561.89,330893024.0
2021-06-07,3599.54,3600.38,3581.9,303718688.0
2021-06-08,3580.11,3621.52,3563.25,304491456.0
2021-06-09,3591.4,3598.71,3572.64,298323296.0
2021-06-10,3610.86,3624.34,3584.13,318174816.0
2021-06-11,3589.75,3614.4,3587.15,360554976.0
2021-06-15,3556.56,3592.95,3547.19,349168576.0
2021-06-16,3518.33,3561.09,3513.56,312597312.0
2021-06-17,3525.6,3534.2,3507.35,277229920.0
2021-06-18,3525.1,3535.62,3503.18,296708576.0
2021-06-21,3529.18,3540.3,3504.01,280898272.0
2021-06-22,3557.41,3560.19,3536.81,307536384.0
2021-06-23,3566.22,3577.47,3549.85,310709504.0
2021-06-24,3566.65,3570.49,3548.82,335440768.0
2021-06-25,3607.56,3614.3,3564.52,346087840.0
2021-06-28,3606.37,3614.36,3594.22,321274976.0
2021-06-29,3573.18,3601.83,3570.53,306071168.0
2021-06-30,3591.2,3594.12,3569.5,268162816.0
2021-07-01,3588.78,3607.7,3573.94,291883200.0
2021-07-02,3518.76,3569.89,3514.34,291945536.0
2021-07-05,3534.32,3534.32,3510.58,288094848.0
2021-07-06,3530.26,3538.35,3496.93,314070208.0
2021-07-07,3553.72,3557.88,3504.47,318839200.0
2021-07-08,3525.5,3558.68,3521.06,350877856.0
2021-07-09,3524.09,3529.31,3485.05,349884320.0
2021-07-12,3547.84,3565.03,3527.39,403639552.0
2021-07-13,3566.52,3567.48,3542.82,362416704.0
2021-07-14,3528.5,3560.83,3525.49,372221728.0
2021-07-15,3564.59,3565.93,3514.26,363259168.0
2021-07-16,3539.3,3566.0,3537.73,366014784.0
2021-07-19,3539.12,3544.88,3506.34,336760960.0
2021-07-20,3536.79,3538.64,3509.19,293780608.0
2021-07-21,3562.66,3569.09,3543.05,338978752.0
2021-07-22,3574.73,3576.47,3558.29,381067040.0
2021-07-23,3550.4,3571.85,3541.51,446421248.0
2021-07-26,3467.44,3538.01,3424.74,442882208.0
2021-07-27,3381.18,3483.87,3380.28,469075456.0
2021-07-28,3361.59,3385.54,3312.72,395825408.0
2021-07-29,3411.72,3416.61,3382.57,344569440.0
2021-07-30,3397.36,3404.88,3370.45,381440960.0
2021-08-02,3464.29,3464.29,3367.64,432927872.0
2021-08-03,3447.99,3470.66,3435.46,400698080.0
2021-08-04,3477.22,3477.6,3440.78,348744224.0
2021-08-05,3466.55,3486.16,3449.39,348436928.0
